PROSPECTID,t,timestamp,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag
206,0,2023-01-01,1953.0,-99999,-99999.0,0.0,-99999.0,0.0,0,0,0,-99999,-99999,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,5.0,0.0,0,0,1.0,1,1,2.0,1,1,1,Married,SSC,37,M,25000.0,130.0,0.0,0.0,0.0,-99999.0,0,-99999.0,0,1.0,0.0,1.0,0.0,-99999.0,0,0,PL,others,668.0,P3
206,1,2023-01-31,1954.0,-99999,-99998.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,5.0,0.0,0,0,1.0,0,0,3.0,0,0,0,Married,SSC,37,M,25000.0,131.0,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,0.0,0,0,PL,others,,
206,2,2023-03-02,1955.0,-99999,-99997.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,5.0,0.0,0,0,1.0,0,0,4.0,0,0,0,Married,SSC,37,M,25000.0,132.0,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,0.0,0,0,PL,others,,
206,3,2023-04-01,1956.0,-99999,-99996.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,5.0,0.0,0,0,1.0,0,0,5.0,0,0,0,Married,SSC,37,M,25000.0,133.0,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,0.0,0.0,0.0,0.0,0,0,PL,others,,
206,4,2023-05-01,1957.0,-99999,-99995.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,6.0,1.0,1,1,1.0,0,0,0.0,1,1,1,Married,SSC,37,M,25000.0,134.0,0.0,0.0,0.0,-99999.0,0,-99999.0,0,0.0,1.0,0.0,1.0,0.0,0,0,CC,others,,
206,5,2023-05-31,1958.0,-99999,-99994.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,6.0,1.0,1,1,1.0,0,0,1.0,1,1,1,Married,SSC,37,M,25000.0,135.0,0.25,1.0,0.0,0.0,1,-99999.0,0,0.0,1.0,0.0,1.0,0.0,0,0,CC,others,,
206,6,2023-06-30,1959.0,-99999,-99993.0,0.0,-99999.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,6.0,1.0,1,1,1.0,0,0,2.0,1,1,1,Married,SSC,37,M,23188.155386353847,136.0,0.25,1.0,0.0,0.0,1,-99999.0,0,0.0,1.0,0.0,1.0,0.0,0,0,CC,others,,
206,7,2023-07-30,0.0,-99999,-99992.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0,6.0,1.0,1,1,1.0,0,0,3.0,1,1,0,Married,SSC,37,M,23188.155386353847,137.0,0.25,1.0,0.0,0.0,1,-99999.0,0,0.0,1.0,0.0,1.0,0.0,0,0,CC,others,,
206,8,2023-08-29,1.0,-99999,-99991.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0,7.0,2.0,2,2,1.0,0,0,0.0,2,2,1,Married,SSC,37,M,23188.155386353847,138.0,0.25,1.0,0.0,0.0,1,-99999.0,0,0.0,1.0,0.0,1.0,0.0,0,0,CC,others,,
206,9,2023-09-28,2.0,-99999,-99990.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0,8.0,2.0,2,2,2.0,1,1,0.0,3,3,2,Married,SSC,37,M,23188.155386353847,139.0,0.25,1.0,0.0,0.0,1,-99999.0,0,1.0,1.0,0.5,1.0,0.0,0,0,PL,others,,
